commercial_name,alternative_name,clinical_phase,mechanism_of_action,target,disease_area,indication
SIBUTRAMINE HCl,,Withdrawn,serotoninÐnorepinephrine reuptake inhibitor (SNRI),SLC6A2|SLC6A3|SLC6A4,,
SILDENAFIL CITRATE,,Launched,phosphodiesterase inhibitor,PDE5A|PDE6G|PDE6H|SLCO1B1|SLCO1B3,cardiology,hypertension
Sildenafil citrate,,Launched,phosphodiesterase inhibitor,PDE5A|PDE6G|PDE6H|SLCO1B1|SLCO1B3,cardiology,hypertension
Silodosin,Rapaflo ,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D,urology,benign prostatic hyperplasia (BPH)
SIMVASTATIN,,Launched,HMGCR inhibitor,HMGCR|ITGB2,endocrinology|cardiology|neurology/psychiatry,hypercholesterolemia|coronary heart disease|myocardial infarction|stroke|hyperlipidemia
SIMVASTATIN,,Launched,HMGCR inhibitor,HMGCR|ITGB2,endocrinology|cardiology|neurology/psychiatry,hypercholesterolemia|coronary heart disease|myocardial infarction|stroke|hyperlipidemia
Simvastatin,Zocor,Launched,HMGCR inhibitor,HMGCR|ITGB2,endocrinology|cardiology|neurology/psychiatry,hypercholesterolemia|coronary heart disease|myocardial infarction|stroke|hyperlipidemia
Sitafloxacin hydrate,,Launched,bacterial DNA gyrase inhibitor,,infectious disease,buruli ulcer
Sodium butyrate,,Phase 2,HDAC inhibitor,BCHE|FFAR2|FFAR3|HDAC1|HDAC2|HDAC3|HDAC8,,
Sodium orthovanadate,,Preclinical,,,,
Sodium salicylate,,Launched,prostanoid receptor antagonist,ASIC3|PTGS1|PTGS2,endocrinology|neurology/psychiatry,fever|pain relief
Solifenacin succinate,,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,urology,urinary incontinence|urinary frequency
Sorafenib,Nexavar,Launched,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET,oncology,renal cell carcinoma (RCC)|thyroid cancer|hepatocellular carcinoma (HCC)
Sotalol,Betapace,Launched,adrenergic receptor antagonist,ADRB1|ADRB2|KCNH2,cardiology,atrial fibrillation (AF)|ventricular arrhythmias
SPARFLOXACIN,,Withdrawn,bacterial DNA gyrase inhibitor,TOP2A,infectious disease,
Sparfloxacin,,Withdrawn,bacterial DNA gyrase inhibitor,TOP2A,infectious disease,
Spectinomycin  hydrochloride,,Launched,bacterial 30S ribosomal subunit inhibitor,,pulmonary,airsacculitis|chronic respiratory disease
Spectinomycin  hydrochloride,,Launched,bacterial 30S ribosomal subunit inhibitor,,pulmonary,airsacculitis|chronic respiratory disease
SPIRAMYCIN,,Launched,bacterial 50S ribosomal subunit inhibitor,,infectious disease,toxoplasmosis|soft tissue infection
STANOZOLOL,,Launched,androgen receptor agonist,AR,hematology,anemia
STAVUDINE,,Launched,DNA directed DNA polymerase inhibitor|nucleoside reverse transcriptase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
Stavudine,,Launched,DNA directed DNA polymerase inhibitor|nucleoside reverse transcriptase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
STREPRONIN,Stepronin,Launched,mucolytic agent,,,
Streptomycin sulfate,,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,tuberculosis
Streptozotocin,Zanosar,Launched,DNA alkylating agent,SLC2A2,oncology,pancreatic cancer
Strontium ranelate,Protelos ,Launched,bone formation stimulant|bone resorption inhibitor,CASR,orthopedics|rheumatology,osteoporosis|osteoarthritis
Sulbactam,,Launched,beta lactamase inhibitor,,infectious disease,skin infections|intra-abdominal infections|gynecologic infections
Sulbactam sodium,Unasyn ,Launched,beta lactamase inhibitor,,infectious disease,skin infections|intra-abdominal infections|gynecologic infections
SULBACTAN Na,SULBACTAM,Launched,beta lactamase inhibitor,,infectious disease,skin infections|intra-abdominal infections|gynecologic infections
Sulfadiazine,,Launched,bacterial antifolate,,infectious disease|ophthalmology,malaria|meningitis|urinary tract infections|conjunctivitis|trachoma|chancroid
SULFADOXINE,,Launched,dihydropteroate synthase inhibitor,,infectious disease,malaria
Sulfadoxine,Sulphadoxine ,Launched,dihydropteroate synthase inhibitor,,infectious disease,malaria
Sulfamerazine,,Launched,bacterial antifolate,,infectious disease,coccidiosis|cholera
Sulfameter,Bayrena ,Launched,dihydrofolate reductase inhibitor,DHFR,infectious disease,urinary tract infections
Sulfamethazine,,Launched,PABA antagonist,,gastroenterology,enteritis|enteritis
Sulfamethizole,Proklar ,Launched,bacterial antifolate,,infectious disease,urinary tract infections
Sulfamethoxazole,,Launched,PABA antagonist,,infectious disease|gastroenterology,pneumonia|enteritis|urinary tract infections
Sulfanilamide,,Launched,carbonic anhydrase inhibitor,CYP2C19|CYP2C9|CYP2D6|CYP2E1|CYP3A4,infectious disease,vulvovaginal candidiasis
Sulfapyridine,Dagenan ,Launched,PABA antagonist,,,
SULFASALAZINE,,Launched,cyclooxygenase inhibitor,ACAT1|ALOX5|CHUK|IKBKB|PLA2G1B|PPARG|PTGS1|PTGS2|SLC46A1|SLC7A11|TBXAS1,gastroenterology,ulcerative colitis
Sulfasalazine,Azulfidine ,Launched,cyclooxygenase inhibitor,ACAT1|ALOX5|CHUK|IKBKB|PLA2G1B|PPARG|PTGS1|PTGS2|SLC46A1|SLC7A11|TBXAS1,gastroenterology,ulcerative colitis
Sulfathiazole,,Launched,dihydropteroate synthase inhibitor,,,
Sulfisoxazole,,Launched,folic acid antagonist,,infectious disease|otolaryngology,meningitis|urinary tract infections|otitis|trachoma
Sulindac,Clinoril,Launched,cyclooxygenase inhibitor,AKR1B1|MAPK3|PPARD|PTGDR2|PTGS1|PTGS2,rheumatology,osteoarthritis|rheumatoid arthritis|ankylosing spondylitis
Sulphadimethoxine,,Launched,dihydropteroate synthetase inhibitor,,,
SULPIRIDE,,Launched,dopamine receptor antagonist,,neurology/psychiatry,schizophrenia|schizophrenia
SUMATRIPTAN SUCCINATE,,Launched,serotonin receptor agonist,HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR5A|HTR6|HTR7,neurology/psychiatry,migraine headache
Sumatriptan succinate,,Launched,serotonin receptor agonist,HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR5A|HTR6|HTR7,neurology/psychiatry,migraine headache
Sunitinib Malate,Sutent,Launched,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,CSF1R|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,oncology,gastrointestinal stromal tumors (GIST)|renal cell carcinoma (RCC)|neuroendocrine tumors of pancreatic origin (PNET)
Suplatast tosylate,,Launched,histamine release inhibitor|immunoglobulin inhibitor,,rheumatology,Kimura's disease
Suprofen,Profenal ,Withdrawn,cyclooxygenase inhibitor,PTGS1|PTGS2,,
TACROLIMUS,,Launched,calcineurin inhibitor,FKBP1A,transplant,organ rejection
TADALAFIL,,Launched,phosphodiesterase inhibitor,PDE11A|PDE5A,cardiology,hypertension
Tadalafil,Cialis ,Launched,phosphodiesterase inhibitor,PDE11A|PDE5A,cardiology,hypertension
Talc,,Launched,,,,
Tamoxifen Citrate,Nolvadex,Launched,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),EBP|ESR1|ESR2|GPER1|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCI|PRKCQ|PRKCZ,oncology,breast cancer
TAMSULOSIN Hydrochloride,,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D,urology,benign prostatic hyperplasia (BPH)
Taurine,,Launched,antioxidant,,neurology/psychiatry,anxiety|irritability|sleeplessness
Tazarotene,Avage ,Launched,retinoid receptor agonist,RARA|RARB|RARG|RXRB,dermatology,cosmetic|sunscreen lotion
TAZOBACTAM Na,,Launched,beta lactamase inhibitor,,infectious disease,pneumonia
Tebipenem pivoxil,L-084,Launched,bacterial cell wall synthesis inhibitor,CNR1,infectious disease|otolaryngology,pneumonia|otitis
TEGAFUR,,Launched,,,oncology,
TEGASEROD MALEATE,,Withdrawn,serotonin receptor partial agonist,HTR2A|HTR2B|HTR2C|HTR4,,
TEICOPLANIN,,Launched,bacterial cell wall synthesis inhibitor,,,
Telbivudine,"Sebivo, Tyzeka",Launched,DNA polymerase inhibitor,TK2,infectious disease,hepatitis B
TELITHROMYCIN,,Launched,bacterial 30S ribosomal subunit inhibitor|bacterial 50S ribosomal subunit inhibitor,CYP1A2|CYP2D6|CYP3A4|CYP3A5|CYP3A7,infectious disease,pneumonia
TELITHROMYCIN,,Launched,bacterial 30S ribosomal subunit inhibitor|bacterial 50S ribosomal subunit inhibitor,CYP1A2|CYP2D6|CYP3A4|CYP3A5|CYP3A7,infectious disease,pneumonia
TELMISARTAN,,Launched,angiotensin receptor antagonist,AGTR1|PPARG,cardiology,hypertension
Telmisartan,Micardis,Launched,angiotensin receptor antagonist,AGTR1|PPARG,cardiology,hypertension
Temocapril HCl,,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology|nephrology,hypertension|congestive heart failure|diabetic nephropathy|coronary artery disease (CAD)
TEMOZOLOMIDE,,Launched,DNA alkylating agent,MGMT,oncology,glioblastoma|astrocytoma
Temsirolimus,Torisel,Launched,mTOR inhibitor,MTOR,oncology,renal cell carcinoma (RCC)
TENATOPRAZOLE,,Phase 2,ATPase inhibitor,IDO1,gastroenterology,
TENIPOSIDE,,Launched,topoisomerase inhibitor,TOP2A|TOP2B,hematologic malignancy,acute lymphoblastic leukemia (ALL)
Teniposide,Vumon,Launched,topoisomerase inhibitor,TOP2A|TOP2B,hematologic malignancy,acute lymphoblastic leukemia (ALL)
TENOFOUIR,TENOFOVIR,Launched,HIV integrase inhibitor|nucleoside reverse transcriptase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)|hepatitis B
Tenofovir,Viread ,Launched,HIV integrase inhibitor|nucleoside reverse transcriptase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)|hepatitis B
Tenofovir Disoproxil Fumarate,,Launched,nucleoside reverse transcriptase inhibitor,CYP1A2,infectious disease,human immunodeficiency virus (HIV-1)|hepatitis B
Tenoxicam,Mobiflex ,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology|orthopedics,rheumatoid arthritis|osteoarthritis|ankylosing spondylitis|tendinitis|bursitis|periarthritis
TERBINAFIDE,TERBINAFINE,Launched,fungal squalene epoxidase inhibitor,SQLE,infectious disease,tinea pedis|tinea cruris|tinea corporis
Terbinafine,"Lamisil, Terbinex ",Launched,fungal squalene epoxidase inhibitor,SQLE,infectious disease,tinea pedis|tinea cruris|tinea corporis
Terbinafine,"Lamisil, Terbinex",Launched,fungal squalene epoxidase inhibitor,SQLE,infectious disease,tinea pedis|tinea cruris|tinea corporis
Tetracaine hydrochloride,Pontocaine ,Launched,membrane integrity inhibitor,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,anesthetic
Tetracycline HCl,,Launched,bacterial 30S ribosomal subunit inhibitor,PRNP,infectious disease|dermatology,respiratory tract infections|pneumonia|skin infections|urinary tract infections|acne vulgaris (AV)|plague|psittacosis
Thalidomide,,Launched,tumor necrosis factor production inhibitor,CRBN|FGFR2|NFKB1|ORM1|ORM2|PTGS2|TNF,,
Thiabendazole,,Launched,angiogenesis inhibitor,,infectious disease,gastrointestinal roundworms|hookworm
Thiamphenicol,Thiophenicol ,Launched,bacterial 50S ribosomal subunit inhibitor,,infectious disease,pelvic inflammatory disease
THIAZMAZOLE,METHIMAZOLE,Launched,antithyroid agent,TPO,endocrinology,hyperthyroidism
Thioguanine,,Launched,purine antagonist,IMPDH1|IMPDH2,hematologic malignancy,acute myeloid leukemia (AML)
Thioguanine,,Launched,purine antagonist,IMPDH1|IMPDH2,hematologic malignancy,acute myeloid leukemia (AML)
TIAGABINE HCl,,Launched,GABA uptake inhibitor,SLC6A1,neurology/psychiatry,seizures
TIAMULIN HYD. PHSOP.,,,,,,Vetinary Medicine
Tianeptine sodium,,Launched,selective serotonin reuptake enhancer (SSRE),OPRD1|OPRK1|OPRM1,neurology/psychiatry|pulmonary|gastroenterology,depression|asthma|irritable bowel syndrome
TIBOLONE,,Launched,androgen receptor agonist|estrogen receptor agonist|progesterone receptor agonist,ESR1,obstetrics/gynecology,endometriosis
TICLOPIDINE HCl,,Launched,purinergic receptor antagonist,P2RY12,hematology|neurology/psychiatry,thrombosis|stroke
Tigecycline,,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,skin infections|pneumonia|intra-abdominal infections
TIMOLOL MALEATE,,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,ophthalmology,ocular hypertension|glaucoma
Tioconazole,,Launched,sterol demethylase inhibitor,CYP51A1,infectious disease,yeast infection
Tiopronin,Thiola ,Launched,chelating agent|reducing agent,,urology,kidney stones
Tiotropium Bromide hydrate,,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,pulmonary,chronic obstructive pulmonary disease (COPD)|bronchitis|emphysema
Tioxolone,,Preclinical,carbonic anhydrase inhibitor,CA2,,
Tizanidine HCl,,Launched,adrenergic receptor agonist,ADRA2A|ADRA2B|ADRA2C|NISCH,neurology/psychiatry,spasms
Tobramycin,,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,bacterial septicemia|respiratory tract infections|meningitis|skin infections|urinary tract infections
TOCAINIDE,,Launched,sodium channel blocker,SCN5A,cardiology,cardiac arrythmia
Tolbutamide,,Launched,ATP channel blocker,ABCC8|KCNJ1|KCNJ11|KCNJ8,endocrinology,diabetes mellitus
Tolfenamic acid,,Launched,cyclooxygenase inhibitor|prostanoid receptor antagonist,,neurology/psychiatry,migraine headache
Tolnaftate,,Launched,fungal squalene epoxidase inhibitor,,infectious disease,tinea pedis|tinea corporis
TOLTERODINE TARTRATE,,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,urology,urinary incontinence|urinary frequency
TOLTERODINE TARTRATE,,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,urology,urinary incontinence|urinary frequency
Tolterodine tartrate,Detrol LA ,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,urology,urinary incontinence|urinary frequency
Tolvaptan,OPC-41061,Launched,vasopressin receptor antagonist,AVPR1A|AVPR2,endocrinology|cardiology|gastroenterology,hyponatremia|congestive heart failure|hepatic cirrhosis
TOPIRAMATE,,Launched,carbonic anhydrase inhibitor|glutamate receptor antagonist|kainate receptor antagonist,CA1|CA12|CA2|CA4|CA7|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA1|GRIA2|GRIA3|GRIA4|GRIK1|GRIK2|GRIK3|GRIK4|GRIK5|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,epilepsy|migraine headache
Topiramate,,Launched,carbonic anhydrase inhibitor|glutamate receptor antagonist|kainate receptor antagonist,CA1|CA12|CA2|CA4|CA7|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA1|GRIA2|GRIA3|GRIA4|GRIK1|GRIK2|GRIK3|GRIK4|GRIK5|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,epilepsy|migraine headache
TOPOTECAN HCl,,Launched,topoisomerase inhibitor,TOP1|TOP1MT,oncology,small cell lung cancer|cervical cancer
Topotecan HCl,,Launched,topoisomerase inhibitor,TOP1|TOP1MT,oncology,small cell lung cancer|cervical cancer
TORASEMIDE,,Launched,electrolyte reabsorption inhibitor|thromboxane receptor antagonist,SLC12A1,cardiology,edema|congestive heart failure|hypertension
Toremifene Citrate,"Fareston, Acapodene",Launched,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),ESR1,oncology,breast cancer
Torsemide,Demadex,,,,,
TOSUFLOXACIN TOSYLATE,,Launched,bacterial DNA gyrase inhibitor,,infectious disease,gram-negative bacterial infections
TOTAROL,,Launched,bacterial DNA gyrase inhibitor,,infectious disease,gram-negative bacterial infections
TRAMADOL Hydrochloride,,Launched,norepinephrine reputake inhibitor|opioid receptor agonist|serotonin reuptake inhibitor,CHRFAM7A|CHRM3|GRIN3A|HTR2C|OPRD1|OPRK1|OPRM1|SLC6A2|SLC6A4,neurology/psychiatry,acute pain|chronic pain
Tranexamic acid,Transamin ,Launched,antifibrinolytic|plasminogen activator inhibitor,PLG,hematology,hemophilia
Tranilast,SB 252218,Launched,angiogenesis inhibitor,HPGDS|HRH1,pulmonary,asthma
Trazodone hydrochloride,Desyrel ,Launched,adrenergic receptor antagonist|serotonin receptor antagonist|serotonin reuptake inhibitor,ADRA1A|ADRA2A|HRH1|HTR1A|HTR2A|HTR2B|HTR2C|SLC6A4,neurology/psychiatry,depression
Tretinoin,Aberela,Launched,retinoid receptor agonist|retinoid receptor ligand,ALDH1A1|ALDH1A2|GPRC5A|NR0B1|NR2C2|PPARD|RARA|RARB|RARG|RARRES1|RORB|RORC|RXRB|RXRG,hematologic malignancy,acute promyelocytic leukemia (APL)
Triamcinolone,Aristocort,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,dermatology,corticosteroid-responsive dermatoses
Triamcinolone Acetonide,,Launched,glucocorticoid receptor agonist|immunosuppressant,NR3C1,dermatology,corticosteroid-responsive dermatoses
Trichlormethiazide,Achletin ,Launched,chloride channel blocker,ATP1A1|CA1|CA2|CA4|SLC12A1|SLC12A3,cardiology,hypertension|edema
Trifluoperazine 2HCl,,Launched,dopamine receptor antagonist,ADRA1A|CALM1|CALY|DRD2|DRD4|HRH1|HTR2A|HTR2C|S100A4|TNNC1,neurology/psychiatry,schizophrenia
Trifluridine,Viroptic,Launched,DNA directed DNA polymerase inhibitor|thymidylate synthase inhibitor,TYMS,infectious disease,virus herpes simplex (HSV)
Triflusal,,Launched,cyclooxygenase inhibitor|platelet aggregation inhibitor|thromboxane synthase inhibitor,NFKB1|NOS2|PDE10A|PTGS1,neurology/psychiatry|cardiology,stroke|myocardial infarction|atrial fibrillation (AF)
Trilostane,,Launched,3beta-hydroxy-delta5-steroid dehydrogenase inhibitor,ESR1|ESR2|HSD3B1|HSD3B2,endocrinology,Cushing's syndrome
Trimebutine,,Launched,opioid receptor agonist,OPRD1|OPRK1|OPRM1,gastroenterology,irritable bowel syndrome
TRIMEBUTINE MALEATE,,Launched,opioid receptor agonist,OPRD1|OPRK1|OPRM1,gastroenterology,irritable bowel syndrome
TRIMETAZIDINE diHCl,,Launched,3-ketoacyl CoA thiolase inhibitor,ACAA2,cardiology,angina pectoris
Trimethoprim,,Launched,dihydrofolate reductase inhibitor,DHFR|TYMS,infectious disease|gastroenterology,urinary tract infections|ear infections|diarrhea
Tripelennamine HCl,,Launched,histamine receptor antagonist,HRH1,pulmonary|allergy,asthma|allergic rhinitis|urticaria
Tropicamide,,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4,ophthalmology,mydriasis diagnostic|cycloplegia diagnostic
Tropisetron,,Launched,serotonin receptor antagonist,GLRA1|GLRA2|GLRB|HTR3A|HTR4,gastroenterology,nausea|vomiting|nausea|vomiting
TROPISETRON HCl,,Launched,serotonin receptor antagonist,GLRA1|GLRA2|GLRB|HTR3A|HTR4,gastroenterology,nausea|vomiting|nausea|vomiting
Trospium chloride,Sanctura ,Launched,acetylcholine receptor antagonist,CHRM1,urology,urinary incontinence|urinary frequency
TROXIPIDE,,Launched,glucosamine synthetase stimulant,,gastroenterology,gastroesophageal reflux disease (GERD)
Tylosin tartrate,,Launched,protein synthesis inhibitor,,infectious disease|gastroenterology,gram-positive bacterial infections|colitis
Ubenimex,Bestatin ,Launched,leukotriene synthesis inhibitor,LTA4H|RNPEP,hematologic malignancy,acute myeloid leukemia (AML)
Ulipristal,,Launched,progesterone receptor antagonist,PGR,endocrinology,contraceptive
Unknown,,,,,,
Unknown,,,,,,
Unknown,,,,,,
Unknown,,,,,,
Unknown,,,,,,
Unknown,,,,,,
Urapidil HCl,,Launched,adrenergic receptor antagonist,HTR1A,cardiology,hypertension
Ursodiol,Actigal Urso,Launched,nuclear factor erythroid derived|like (NRF2) activator,NR1H4,gastroenterology,gallstones
Valaciclovir HCl,,Launched,DNA polymerase inhibitor,,infectious disease,shingles|virus herpes simplex (HSV)
VALACYCLOVIR HCl,Valaciclovir,Launched,DNA polymerase inhibitor,,infectious disease,shingles|virus herpes simplex (HSV)
VALDECOXIB,,Withdrawn,cyclooxygenase inhibitor,CA12|PTGS2,,
Valproic acid sodium salt,Sodium valproate ,Launched,HDAC inhibitor,ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,seizures
Valproic acid sodium salt,Sodium valproate ,Launched,HDAC inhibitor,ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,seizures
VALSARTAN,,Launched,angiotensin receptor antagonist,AGTR1,cardiology,hypertension|congestive heart failure
Valsartan,Diovan,Launched,angiotensin receptor antagonist,AGTR1,cardiology,hypertension|congestive heart failure
Vancomycin HCl,Vancocin ,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,endocarditis
Vandetanib,Zactima,Launched,EGFR inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK|VEGFA,oncology,medullary thyroid cancer (MTC)
Vardenafil,Vivanza,Launched,phosphodiesterase inhibitor,PDE5A|PDE6G|PDE6H,urology,erectile dysfunction
VARDENAFIL CITRATE,,Launched,phosphodiesterase inhibitor,PDE5A|PDE6G|PDE6H,urology,erectile dysfunction
Varenicline tartrate,,Launched,acetylcholine receptor agonist,CHRNA3|CHRNA4|CHRNA6|CHRNA7,neurology/psychiatry,smoking cessation
Vecuronium Bromide,,Launched,acetylcholine receptor antagonist,CHRNA2,neurology/psychiatry,muscle relaxant
Venlafaxine,,Launched,adrenergic inhibitor|norepinephrine reuptake inhibitor|serotoninÐnorepinephrine reuptake inhibitor (SNRI),SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,depression|generalized anxiety disorder (GAD)|panic disorders|social anxiety disorder
VENLAFAXINE Hydrochloride,,Launched,adrenergic inhibitor|norepinephrine reuptake inhibitor|serotoninÐnorepinephrine reuptake inhibitor (SNRI),SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,depression|generalized anxiety disorder (GAD)|panic disorders|social anxiety disorder
Vicriviroc Malate,,Phase 3,CC chemokine receptor antagonist,CCR5,infectious disease,human immunodeficiency virus (HIV-1)
Vidarabine,Vira-A,Launched,antiviral,ADA,infectious disease,virus herpes simplex (HSV)|varicella-zoster virus (VZV)
Vildagliptin,LAF-237,Launched,dipeptidyl peptidase inhibitor,DPP4,endocrinology,diabetes mellitus
Vinblastine,,Launched,microtubule inhibitor|tubulin polymerization inhibitor,JUN|TUBA1A|TUBB|TUBD1|TUBE1|TUBG1,hematologic malignancy|infectious disease|oncology,Hodgkin's lymphoma|true histiocytic lymphoma (THL)|mycosis|small lymphocytic lymphoma (SLL)|testicular carcinoma|Kaposi sarcoma
Vincristine,,Launched,tubulin polymerization inhibitor,TUBA4A|TUBB,hematologic malignancy,acute lymphoblastic leukemia (ALL)
Vinpocetine,Cavinton ,Launched,phosphodiesterase inhibitor|sodium channel blocker,PDE1A|PDE1C,,
Vitamin B12,,Launched,,,hematology,megaloblastic anemia
Vitamin C,Ascorbic acid ,Launched,,,,
VOGLIBOSE,,Launched,glucosidase inhibitor,MGAM,endocrinology,diabetes mellitus|hyperglycemia
VORICONAZOLE,,Launched,cytochrome P450 inhibitor,CYP2C19|CYP2C9|CYP3A4|CYP3A5|PTGS1,infectious disease,esophageal candidiasis|aspergillosis|skin infections
Voriconazole,,Launched,cytochrome P450 inhibitor,CYP2C19|CYP2C9|CYP3A4|CYP3A5|PTGS1,infectious disease,esophageal candidiasis|aspergillosis|skin infections
Vorinostat,SAHA,Launched,HDAC inhibitor,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC5|HDAC6|HDAC8|HDAC9,hematologic malignancy,cutaneous T-cell lymphoma (CTCL)
WARFARIN,,Launched,vitamin K antagonist,VKORC1,hematology|cardiology,deep vein thrombosis (DVT)|pulmonary embolism (PE)|atrial fibrillation (AF)|myocardial infarction
Xylazine HCl,,Launched,adrenergic receptor agonist,ADRA2A|ADRA2B|ADRA2C,neurology/psychiatry,anesthetic
Xylometazoline HCl,,Launched,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C,otolaryngology|allergy,nasal congestion|allergic rhinitis
ZAFIRKULAST,ZAFIRLUKAST,Launched,leukotriene receptor antagonist,CYSLTR1|CYSLTR2,pulmonary,asthma
Zafirlukast,Accolate ,Launched,leukotriene receptor antagonist,CYSLTR1|CYSLTR2,pulmonary,asthma
ZALCITABINE,,Launched,nucleoside reverse transcriptase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
Zalcitabine,,Launched,nucleoside reverse transcriptase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
ZALEPLON,,Launched,benzodiazepine receptor agonist,GABRA1|GABRB1|GABRG2|TSPO,neurology/psychiatry,insomnia
ZIDOVUDINE,,Launched,nucleoside reverse transcriptase inhibitor,TERT,infectious disease,human immunodeficiency virus (HIV-1)|acquired immunodeficiency syndrome (AIDS)
ZILEUTON,,Launched,leukotriene synthesis inhibitor|lipoxygenase inhibitor,ALOX5,pulmonary,asthma
Zileuton,,Launched,leukotriene synthesis inhibitor|lipoxygenase inhibitor,ALOX5,pulmonary,asthma
zinamivir sulphate,zanamivir sulphate,Launched,neuraminidase inhibitor,NEU2,infectious disease,influenza A virus infection
ZIPRASIDONE,,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR6|HTR7|SLC6A4,neurology/psychiatry,schizophrenia|bipolar disorder
